dataSource,value_O_wells,units_wells,value_O_heads,units_heads,value_O_drains,units_drains,Zone_1,Zone_2,Zone_3,Zone_4,Zone_5,Zone_6,Zone_7,Zone_8,Zone_9,Zone_10,Zone_11
01aba691063ccd68496e83743a57550e.csv,3010000000,ft3 (total for entire model),782.9975,feet (monthly average),18.429031,cfs,2,1.9,2,2,1.9,1.5,2,0.5,2,1.9,2
01b45191c0bc6b654a56d566c08650d7.csv,3230000000,ft3 (total for entire model),781.4173,feet (monthly average),18.152573,cfs,1.9,1.5,1.9,1.9,2,2,2,0.7,1.5,2,1.9
01b7b1c0b843e635d7de46e1b0d384b8.csv,3090000000,ft3 (total for entire model),782.02277,feet (monthly average),18.310448,cfs,2,1.5,1.9,1.9,1.6,2,1.9,0.6,2,1.9,1.9
01b8dbeeff90bf5c6df99cb957e8df2b.csv,3100000000,ft3 (total for entire model),782.02075,feet (monthly average),18.314695,cfs,1.9,1.5,2,2,1.9,2,2,0.6,1.5,1.9,1.9
01bc4b9748f69ca4e1f14cc8591ddb63.csv,3170000000,ft3 (total for entire model),781.60645,feet (monthly average),18.26233,cfs,2,1.5,2,1.9,2,1.9,1.9,0.6,0.9,1.9,2
01d214ee35067b693e61cdac96d7b045.csv,3150000000,ft3 (total for entire model),782.4015,feet (monthly average),18.187563,cfs,1.9,1.9,1.9,2,2,2,2,0.7,0.9,1.9,1.8
01d6142c62a56153deea58bc39b7255a.csv,3290000000,ft3 (total for entire model),781.0335,feet (monthly average),18.154928,cfs,1.9,1.5,1.9,0.9,2,1.2,2,0.8,2,2,2
01d6efae7d13197d4165fed04fa36d47.csv,3490000000,ft3 (total for entire model),781.66644,feet (monthly average),18.113823,cfs,1,1,1,1,2,1,2,1,1.1,1,2
01e6a7a6c84b28070810502af543ef58.csv,3080000000,ft3 (total for entire model),782.703,feet (monthly average),18.346863,cfs,2,1.8,2,1.9,1.9,1.8,1.9,0.6,0.6,2,1.9
01fc9e68a6b0f64dcc8a8955b6c1c57b.csv,3090000000,ft3 (total for entire model),782.58905,feet (monthly average),18.283619,cfs,1.9,1.8,1.9,1.9,1.9,1.9,1.9,0.6,1.9,2,1.9
0202c532e9d5f806bacc080620d53170.csv,3190000000,ft3 (total for entire model),783.0619,feet (monthly average),18.211025,cfs,1,1.8,1.9,1.9,1.9,1.9,2,0.6,1.9,1.9,2
020479eaee8ad509a63b5c072c103fdc.csv,3220000000,ft3 (total for entire model),781.44336,feet (monthly average),18.170094,cfs,1.9,1.5,2,2,1.9,2,1.9,0.7,1.1,1.9,1.9
020c57b4cb10b7ef30ced234788c9364.csv,2300000000,ft3 (total for entire model),786.9033,feet (monthly average),19.121544,cfs,2,1.9,2,2,2,2,2,0.7,1.9,1.9,0.9
021114566be7f43a6bd3a0a91c4c9b54.csv,3190000000,ft3 (total for entire model),781.99054,feet (monthly average),18.159353,cfs,2,1.9,2,1.9,1.9,1.9,1.9,0.6,2,1.3,2
02184b3f607052b0564a2189b7fb00a0.csv,2730000000,ft3 (total for entire model),784.08514,feet (monthly average),18.712652,cfs,1.9,1.5,1.9,2,2,1.9,1.9,0.7,2,1.9,1.4
021a3439cf61a6beff7031a7e11fd4f3.csv,3190000000,ft3 (total for entire model),781.6435,feet (monthly average),18.216942,cfs,2,1.5,1.9,2,1.9,1.6,1.9,0.8,2,2,1.8
021e4fb59556e81c436f197a4445d33d.csv,3060000000,ft3 (total for entire model),782.7901,feet (monthly average),18.239285,cfs,2,1.9,2,1.9,2,1.9,1.9,0.8,2,2,1.6
0220f8b1dc53546acad7db39f39890a2.csv,3190000000,ft3 (total for entire model),781.5371,feet (monthly average),18.20275,cfs,1.9,1.5,2,2,1.7,2,1.9,0.6,2,1.9,2
0222a7ee79f624072e86a85c7b88c7bc.csv,3270000000,ft3 (total for entire model),780.99725,feet (monthly average),18.080648,cfs,1.9,1.5,2,1,2,1.9,1.9,0.7,2,2,2
0223699e2da09dd8942928f65fbc03fb.csv,2150000000,ft3 (total for entire model),787.2682,feet (monthly average),19.386814,cfs,1.9,1.5,2,2,1.9,1.8,1.9,0.7,1.9,2,0.8
0223b3446964656095c5639aa2d7aa3d.csv,3100000000,ft3 (total for entire model),782.6495,feet (monthly average),18.368137,cfs,2,1.8,1.9,1.9,1.9,1.3,2,0.6,1.9,1.9,2
02356302b821dc17b2efe529e558320c.csv,3080000000,ft3 (total for entire model),782.47363,feet (monthly average),18.24047,cfs,1.9,1.9,2,0.5,1.9,2,2,0.6,2,1.9,1.9
0236f8cc263d722985d6c974cc46c60c.csv,3380000000,ft3 (total for entire model),781.16986,feet (monthly average),17.994705,cfs,1.9,1.7,2,1.9,2,1.5,2,0.8,2,1.9,2
023af3094adf508784876d8f4cdd86da.csv,3360000000,ft3 (total for entire model),780.72766,feet (monthly average),18.04588,cfs,2,1.5,1.9,2,1.9,1.5,1.9,0.8,2,1.7,2
023babb139f811dcc9e19b490790e2b0.csv,3230000000,ft3 (total for entire model),781.8653,feet (monthly average),18.092579,cfs,2,1.9,2,1.9,0.7,1.9,2,0.7,1.9,1.9,1.9
023e632729b5180ba8c214bd5fa55c3a.csv,3100000000,ft3 (total for entire model),782.6628,feet (monthly average),18.350218,cfs,2,1.9,2,2,1.9,1.1,1.9,0.7,2,1.9,1.9
023edf558f713a77c456555c54482a0b.csv,3200000000,ft3 (total for entire model),781.90466,feet (monthly average),18.100588,cfs,2,1.9,2,1.3,1.9,1.9,1.9,0.7,1.9,1.9,1.9
02445c2e8c29b51c63844af498aba9ad.csv,3180000000,ft3 (total for entire model),781.5986,feet (monthly average),18.236012,cfs,1.9,1.5,2,2,0.9,1.9,2,0.6,2,1.9,2
024bc889f6f7110d54b9c2568bbc5dfe.csv,3290000000,ft3 (total for entire model),781.6031,feet (monthly average),18.02824,cfs,1.9,1.9,2,1.9,1.9,1.8,1.7,0.7,2,2,2
024fbdf855092efe5d3bb0b4c35a1a26.csv,3030000000,ft3 (total for entire model),782.52563,feet (monthly average),18.557123,cfs,2,1.5,1.9,2,2,0.9,2,0.6,1.9,2,2
026927ed4d9851dc6764fdd698e02279.csv,3220000000,ft3 (total for entire model),781.9942,feet (monthly average),18.096624,cfs,1.9,1.9,1.9,2,1.9,1.9,1.9,0.7,1.9,1.8,1.9
026bb290b481fd1ab9e47fd73c59ae01.csv,3290000000,ft3 (total for entire model),781.4566,feet (monthly average),18.224827,cfs,2,1.5,0.9,2,2,1,2,0.8,2,1.9,2
026c095569175557c1b1e13fc22fae55.csv,3060000000,ft3 (total for entire model),782.7378,feet (monthly average),18.31647,cfs,1.9,1.9,1.9,1.9,1.7,1.9,1.9,0.5,1.9,1.9,2
0279b80bc394a9f99130415004472edd.csv,3360000000,ft3 (total for entire model),780.8346,feet (monthly average),18.07771,cfs,1.9,1.5,1.9,2,1.9,1.5,2,0.8,2,0.5,2
027ae8e229c81a12463d9b9e2f503db9.csv,3340000000,ft3 (total for entire model),781.5274,feet (monthly average),18.069687,cfs,1.9,1.9,2,1.9,0.5,1,2,0.9,1.9,1.9,1.9
027da20e278032cc16a703192e0fde9a.csv,3200000000,ft3 (total for entire model),782.04254,feet (monthly average),18.191427,cfs,1.6,1.5,1.9,1.9,2,1.9,1.9,0.7,2,2,1.9
0280c4723a40d8fe3da95607043d2a7a.csv,3190000000,ft3 (total for entire model),782.49854,feet (monthly average),18.24717,cfs,1.1,1.5,2,2,2,1.8,1.9,0.7,1.9,1.9,1.9
02821f207162ae4925e86743a08cf190.csv,2990000000,ft3 (total for entire model),782.7267,feet (monthly average),18.54226,cfs,1.9,1.5,2,1.9,1.9,1.3,1.9,0.6,2,1.9,1.9
0287f17b92c7b9b23550cce51686c1ac.csv,3040000000,ft3 (total for entire model),782.9204,feet (monthly average),18.347937,cfs,1.9,1.9,1.9,2,1.9,1.9,1.4,0.5,1.9,1.9,2
0290f001093dfac39260faa1fabfe317.csv,3210000000,ft3 (total for entire model),781.72974,feet (monthly average),18.224693,cfs,1.9,1.1,1.9,1.9,1.9,2,2,0.7,2,1.9,1.9
0297786c89f9552bb94ac65af37774fc.csv,3210000000,ft3 (total for entire model),782.83234,feet (monthly average),18.239285,cfs,0.5,1.5,1.9,2,2,1.9,1.9,0.7,1.9,2,1.9
02979a347d4caf90ee229eda7afffbed.csv,3210000000,ft3 (total for entire model),781.4303,feet (monthly average),18.155966,cfs,2,1.5,2,2,2,2,1.7,0.7,1.9,1.9,1.9
